Date,XLU
2002-07-24,18.450000762939453
2002-07-25,19.0
2002-07-26,18.75
2002-07-29,19.049999237060547
2002-07-30,20.600000381469727
2002-07-31,20.68000030517578
2002-08-01,20.3799991607666
2002-08-02,19.979999542236328
2002-08-05,19.6299991607666
2002-08-06,20.440000534057617
2002-08-07,20.59000015258789
2002-08-08,20.969999313354492
2002-08-09,21.020000457763672
2002-08-12,21.3799991607666
2002-08-13,20.790000915527344
2002-08-14,21.420000076293945
2002-08-15,21.459999084472656
2002-08-16,21.1200008392334
2002-08-19,21.450000762939453
2002-08-20,21.389999389648438
2002-08-21,22.049999237060547
2002-08-22,22.5
2002-08-23,22.149999618530273
2002-08-26,22.5
2002-08-27,22.280000686645508
2002-08-28,22.139999389648438
2002-08-29,21.829999923706055
2002-08-30,21.5
2002-09-03,20.90999984741211
2002-09-04,20.780000686645508
2002-09-05,20.719999313354492
2002-09-06,20.719999313354492
2002-09-09,20.68000030517578
2002-09-10,20.209999084472656
2002-09-11,20.229999542236328
2002-09-12,19.709999084472656
2002-09-13,20.0
2002-09-16,19.770000457763672
2002-09-17,19.049999237060547
2002-09-18,19.68000030517578
2002-09-19,19.270000457763672
2002-09-20,18.59000015258789
2002-09-23,18.100000381469727
2002-09-24,17.510000228881836
2002-09-25,18.030000686645508
2002-09-26,18.739999771118164
2002-09-27,18.420000076293945
2002-09-30,18.670000076293945
2002-10-01,18.969999313354492
2002-10-02,18.399999618530273
2002-10-03,18.299999237060547
2002-10-04,17.459999084472656
2002-10-07,17.299999237060547
2002-10-08,16.649999618530273
2002-10-09,15.229999542236328
2002-10-10,16.260000228881836
2002-10-11,16.479999542236328
2002-10-14,16.450000762939453
2002-10-15,16.5
2002-10-16,15.930000305175781
2002-10-17,16.200000762939453
2002-10-18,16.34000015258789
2002-10-21,17.299999237060547
2002-10-22,17.079999923706055
2002-10-23,17.389999389648438
2002-10-24,17.399999618530273
2002-10-25,17.649999618530273
2002-10-28,18.0
2002-10-29,17.8799991607666
2002-10-30,18.280000686645508
2002-10-31,18.239999771118164
2002-11-01,18.329999923706055
2002-11-04,18.989999771118164
2002-11-05,18.989999771118164
2002-11-06,19.389999389648438
2002-11-07,18.489999771118164
2002-11-08,17.920000076293945
2002-11-11,17.719999313354492
2002-11-12,17.389999389648438
2002-11-13,17.5
2002-11-14,17.889999389648438
2002-11-15,18.149999618530273
2002-11-18,18.100000381469727
2002-11-19,18.200000762939453
2002-11-20,18.190000534057617
2002-11-21,18.5
2002-11-22,19.020000457763672
2002-11-25,19.059999465942383
2002-11-26,18.579999923706055
2002-11-27,18.690000534057617
2002-11-29,18.770000457763672
2002-12-02,18.489999771118164
2002-12-03,18.690000534057617
2002-12-04,18.270000457763672
2002-12-05,18.209999084472656
2002-12-06,18.190000534057617
2002-12-09,18.440000534057617
2002-12-10,18.579999923706055
2002-12-11,18.75
2002-12-12,18.809999465942383
2002-12-13,19.0
2002-12-16,19.299999237060547
2002-12-17,19.31999969482422
2002-12-18,19.260000228881836
2002-12-19,19.280000686645508
2002-12-20,19.25
2002-12-23,19.170000076293945
2002-12-24,19.09000015258789
2002-12-26,19.209999084472656
2002-12-27,19.139999389648438
2002-12-30,19.190000534057617
2002-12-31,19.149999618530273
2003-01-02,19.600000381469727
2003-01-03,19.799999237060547
2003-01-06,20.690000534057617
2003-01-07,20.239999771118164
2003-01-08,20.3799991607666
2003-01-09,20.280000686645508
2003-01-10,20.280000686645508
2003-01-13,19.850000381469727
2003-01-14,19.889999389648438
2003-01-15,19.829999923706055
2003-01-16,19.799999237060547
2003-01-17,19.709999084472656
2003-01-21,19.299999237060547
2003-01-22,19.1299991607666
2003-01-23,19.479999542236328
2003-01-24,18.979999542236328
2003-01-27,18.25
2003-01-28,18.799999237060547
2003-01-29,18.790000915527344
2003-01-30,18.489999771118164
2003-01-31,18.700000762939453
2003-02-03,18.760000228881836
2003-02-04,18.670000076293945
2003-02-05,18.389999389648438
2003-02-06,18.219999313354492
2003-02-07,17.899999618530273
2003-02-10,17.959999084472656
2003-02-11,17.65999984741211
2003-02-12,17.049999237060547
2003-02-13,17.290000915527344
2003-02-14,17.579999923706055
2003-02-18,17.770000457763672
2003-02-19,17.780000686645508
2003-02-20,17.770000457763672
2003-02-21,18.0
2003-02-24,17.8799991607666
2003-02-25,18.0
2003-02-26,17.690000534057617
2003-02-27,17.719999313354492
2003-02-28,17.700000762939453
2003-03-03,17.81999969482422
2003-03-04,17.709999084472656
