Date,ELY
1995-05-11,11.625
1995-05-12,11.75
1995-05-15,12.375
1995-05-16,12.625
1995-05-17,12.5
1995-05-18,12.25
1995-05-19,14.0
1995-05-22,14.75
1995-05-23,14.75
1995-05-24,13.875
1995-05-25,14.125
1995-05-26,14.25
1995-05-30,14.0
1995-05-31,14.375
1995-06-01,14.5
1995-06-02,14.125
1995-06-05,14.0
1995-06-06,16.25
1995-06-07,15.375
1995-06-08,16.0
1995-06-09,15.75
1995-06-12,15.375
1995-06-13,15.375
1995-06-14,15.75
1995-06-15,15.625
1995-06-16,15.625
1995-06-19,15.5
1995-06-20,15.0
1995-06-21,15.125
1995-06-22,15.5
1995-06-23,15.125
1995-06-26,15.125
1995-06-27,15.125
1995-06-28,15.0
1995-06-29,15.0
1995-06-30,15.0
1995-07-03,15.0
1995-07-05,15.375
1995-07-06,15.875
1995-07-07,15.375
1995-07-10,15.375
1995-07-11,15.125
1995-07-12,14.875
1995-07-13,14.625
1995-07-14,15.0
1995-07-17,14.875
1995-07-18,15.0
1995-07-19,14.5
1995-07-20,14.875
1995-07-21,14.625
1995-07-24,14.375
1995-07-25,14.125
1995-07-26,13.875
1995-07-27,14.75
1995-07-28,14.875
1995-07-31,14.875
1995-08-01,14.75
1995-08-02,14.875
1995-08-03,14.875
1995-08-04,15.0
1995-08-07,14.875
1995-08-08,15.0
1995-08-09,14.75
1995-08-10,14.75
1995-08-11,14.5
1995-08-14,14.5
1995-08-15,14.375
1995-08-16,14.375
1995-08-17,14.375
1995-08-18,14.625
1995-08-21,14.375
1995-08-22,14.25
1995-08-23,14.375
1995-08-24,14.75
1995-08-25,14.875
1995-08-28,14.75
1995-08-29,15.0
1995-08-30,15.25
1995-08-31,15.5
1995-09-01,15.375
1995-09-05,15.25
1995-09-06,15.25
1995-09-07,15.625
1995-09-08,16.375
1995-09-11,16.125
1995-09-12,16.375
1995-09-13,16.875
1995-09-14,16.625
1995-09-15,16.375
1995-09-18,16.125
1995-09-19,16.0
1995-09-20,15.875
1995-09-21,15.625
1995-09-22,15.75
1995-09-25,15.375
1995-09-26,15.75
1995-09-27,15.75
1995-09-28,15.75
1995-09-29,15.5
1995-10-02,15.625
1995-10-03,15.375
1995-10-04,15.0
1995-10-05,15.0
1995-10-06,14.875
1995-10-09,15.0
1995-10-10,14.875
1995-10-11,14.5
1995-10-12,14.875
1995-10-13,15.0
1995-10-16,15.25
1995-10-17,15.375
1995-10-18,16.25
1995-10-19,16.375
1995-10-20,15.875
1995-10-23,15.875
1995-10-24,15.875
1995-10-25,15.875
1995-10-26,16.0
1995-10-27,16.0
1995-10-30,16.125
1995-10-31,16.375
1995-11-01,16.75
1995-11-02,17.25
1995-11-03,17.375
1995-11-06,17.875
1995-11-07,18.125
1995-11-08,18.0
1995-11-09,18.0
1995-11-10,18.25
1995-11-13,18.125
1995-11-14,17.5
1995-11-15,17.75
1995-11-16,17.875
1995-11-17,18.0
1995-11-20,18.125
1995-11-21,18.5
1995-11-22,19.0
1995-11-24,19.25
1995-11-27,18.875
1995-11-28,19.375
1995-11-29,20.0
1995-11-30,19.75
1995-12-01,19.5
1995-12-04,19.75
1995-12-05,20.375
1995-12-06,20.0
1995-12-07,20.0
1995-12-08,20.0
1995-12-11,20.25
1995-12-12,20.25
1995-12-13,20.625
1995-12-14,20.25
1995-12-15,20.0
1995-12-18,19.0
1995-12-19,20.75
1995-12-20,20.625
1995-12-21,20.875
1995-12-22,21.375
1995-12-26,22.0
1995-12-27,21.875
1995-12-28,22.375
1995-12-29,22.625
1996-01-02,21.625
1996-01-03,20.875
1996-01-04,19.375
1996-01-05,20.0
1996-01-08,20.5
1996-01-09,20.125
1996-01-10,19.75
1996-01-11,19.875
1996-01-12,20.25
1996-01-15,20.375
1996-01-16,20.25
1996-01-17,21.25
1996-01-18,21.625
1996-01-19,21.25
1996-01-22,21.375
1996-01-23,21.625
1996-01-24,19.125
1996-01-25,20.0
1996-01-26,20.75
1996-01-29,20.875
1996-01-30,20.75
1996-01-31,21.625
1996-02-01,21.5
1996-02-02,20.625
1996-02-05,21.25
1996-02-06,21.375
1996-02-07,21.5
1996-02-08,21.625
1996-02-09,21.75
1996-02-12,22.375
1996-02-13,23.625
1996-02-14,22.625
1996-02-15,22.0
1996-02-16,21.75
1996-02-20,21.625
1996-02-21,22.5
1996-02-22,23.375
1996-02-23,22.875
1996-02-26,22.875
1996-02-27,23.5
1996-02-28,23.625
1996-02-29,23.75
1996-03-01,24.0
1996-03-04,24.625
1996-03-05,25.125
1996-03-06,24.625
1996-03-07,25.375
1996-03-08,24.5
